gene_name	gene_id_clean	chromosome_clean	is_chrX	PAR_status	preferred_escape_class	atlas_gene_group	atlas_gene_group_display	chrom	start	end	strand	ensembl_gene_id	gene_symbol	biotype	par_source_gene_name	category	xci_status	PAR_region
TSPAN6	ENSG00000000003	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	100627108	100639991	-	ENSG00000000003	TSPAN6	protein_coding	TSPAN6	Variable	Variable	nonPAR
TNMD	ENSG00000000005	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	100584936	100599885	+	ENSG00000000005	TNMD	protein_coding	TNMD	Unknown	Unknown	nonPAR
LAS1L	ENSG00000001497	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	65438549	65534810	-	ENSG00000001497	LAS1L	protein_coding	LAS1L	Inactive	Inactive	nonPAR
CD99	ENSG00000002586	X	True	PAR	PAR	PAR	PAR	chrX	2691187	2741309	+	ENSG00000002586	CD99	protein_coding	CD99	Escape	Escape	PAR1
KLHL13	ENSG00000003096	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	117897813	118117340	-	ENSG00000003096	KLHL13	protein_coding	KLHL13	Inactive	Inactive	nonPAR
ARX	ENSG00000004848	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	25003694	25016420	-	ENSG00000004848	ARX	protein_coding	ARX	Unknown	Unknown	nonPAR
HCCS	ENSG00000004961	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	11111301	11123086	+	ENSG00000004961	HCCS	protein_coding	HCCS	Inactive	Inactive	nonPAR
SLC25A5	ENSG00000005022	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	119468422	119471396	+	ENSG00000005022	SLC25A5	protein_coding	SLC25A5	Inactive	Inactive	nonPAR
MSL3	ENSG00000005302	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	11758159	11775772	+	ENSG00000005302	MSL3	protein_coding	MSL3	Escape	Escape	nonPAR
ZFX	ENSG00000005889	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	24149173	24216255	+	ENSG00000005889	ZFX	protein_coding	ZFX	Escape	Escape	nonPAR
LAMP2	ENSG00000005893	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	120426148	120469365	-	ENSG00000005893	LAMP2	protein_coding	LAMP2	Inactive	Inactive	nonPAR
ARSD	ENSG00000006756	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	2903972	2929349	-	ENSG00000006756	ARSD	protein_coding	ARSD	Escape	Escape	nonPAR
PNPLA4	ENSG00000006757	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	7898247	7927739	-	ENSG00000006757	PNPLA4	protein_coding	PNPLA4	Escape	Escape	nonPAR
TKTL1	ENSG00000007350	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	154295795	154330350	+	ENSG00000007350	TKTL1	protein_coding	TKTL1	Inactive	Inactive	nonPAR
NOX1	ENSG00000007952	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	100843324	100874359	-	ENSG00000007952	NOX1	protein_coding	NOX1	Escape	Escape	nonPAR
SYN1	ENSG00000008056	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	47571901	47619857	-	ENSG00000008056	SYN1	protein_coding	SYN1	Inactive	Inactive	nonPAR
CDKL5	ENSG00000008086	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	18425583	18653629	+	ENSG00000008086	CDKL5	protein_coding	CDKL5	Inactive	Inactive	nonPAR
TENM1	ENSG00000009694	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	124375903	125204312	-	ENSG00000009694	TENM1	protein_coding	TENM1	Inactive	Inactive	nonPAR
IDS	ENSG00000010404	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	149476988	149521096	-	ENSG00000010404	IDS	protein_coding	IDS	Inactive,Unknown	Inactive	nonPAR
BTK	ENSG00000010671	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	101349338	101390796	-	ENSG00000010671	BTK	protein_coding	BTK	Inactive	Inactive	nonPAR
ANOS1	ENSG00000011201	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	8528874	8732137	-	ENSG00000011201	ANOS1	protein_coding	KAL1	Escape	Escape	nonPAR
GABRA3	ENSG00000011677	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	152166234	152451315	-	ENSG00000011677	GABRA3	protein_coding	GABRA3	Variable	Variable	nonPAR
MBTPS2	ENSG00000012174	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	21839617	21885423	+	ENSG00000012174	MBTPS2	protein_coding	MBTPS2	Inactive	Inactive	nonPAR
PRICKLE3	ENSG00000012211	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	49174802	49186528	-	ENSG00000012211	PRICKLE3	protein_coding	PRICKLE3	Inactive	Inactive	nonPAR
DNASE1L1	ENSG00000013563	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	154401236	154412112	-	ENSG00000013563	DNASE1L1	protein_coding	DNASE1L1	Inactive	Inactive	nonPAR
MAMLD1	ENSG00000013619	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	150361422	150514178	+	ENSG00000013619	MAMLD1	protein_coding	MAMLD1	Inactive	Inactive	nonPAR
WAS	ENSG00000015285	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	48676596	48691431	+	ENSG00000015285	WAS	protein_coding	WAS	Variable	Variable	nonPAR
SLC38A5	ENSG00000017483	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	48458537	48470260	-	ENSG00000017483	SLC38A5	protein_coding	SLC38A5	Inactive	Inactive	nonPAR
STEEP1	ENSG00000018610	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	119538149	119565409	-	ENSG00000018610	STEEP1	protein_coding	CXorf56	Inactive	Inactive	nonPAR
FHL1	ENSG00000022267	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	136146702	136211359	+	ENSG00000022267	FHL1	protein_coding	FHL1	Inactive	Inactive	nonPAR
HMGB3	ENSG00000029993	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	150980509	150990771	+	ENSG00000029993	HMGB3	protein_coding	HMGB3	Inactive	Inactive	nonPAR
OTC	ENSG00000036473	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	38352586	38421446	+	ENSG00000036473	OTC	protein_coding	OTC	Variable	Variable	nonPAR
PHKA2	ENSG00000044446	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	18892298	18984114	-	ENSG00000044446	PHKA2	protein_coding	PHKA2	Inactive	Inactive	nonPAR
GEMIN8	ENSG00000046647	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	14006726	14029893	-	ENSG00000046647	GEMIN8	protein_coding	GEMIN8	Escape	Escape	nonPAR
OFD1	ENSG00000046651	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	13734743	13777955	+	ENSG00000046651	OFD1	protein_coding	OFD1	Escape	Escape	nonPAR
GPM6B	ENSG00000046653	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	13770939	13938638	-	ENSG00000046653	GPM6B	protein_coding	GPM6B	Escape	Escape	nonPAR
MAGEC2	ENSG00000046774	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	142202342	142205290	-	ENSG00000046774	MAGEC2	protein_coding	MAGEC2,MAGEE1	Unknown,Variable	Variable	nonPAR
CTPS2	ENSG00000047230	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	16587999	16712936	-	ENSG00000047230	CTPS2	protein_coding	CTPS2	Variable	Variable	nonPAR
XK	ENSG00000047597	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	37685791	37732130	+	ENSG00000047597	XK	protein_coding	XK	Variable	Variable	nonPAR
SCML1	ENSG00000047634	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	17737449	17754988	+	ENSG00000047634	SCML1	protein_coding	SCML1	Inactive	Inactive	nonPAR
WWC3	ENSG00000047644	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	10015254	10144474	+	ENSG00000047644	WWC3	protein_coding	WWC3	Inactive	Inactive	nonPAR
ARHGAP6	ENSG00000047648	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	11117651	11665920	-	ENSG00000047648	ARHGAP6	protein_coding	ARHGAP6	Inactive	Inactive	nonPAR
FOXP3	ENSG00000049768	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	49250438	49264800	-	ENSG00000049768	FOXP3	protein_coding	FOXP3	Inactive	Inactive	nonPAR
PPP1R3F	ENSG00000049769	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	49269793	49301461	+	ENSG00000049769	PPP1R3F	protein_coding	PPP1R3F	Inactive	Inactive	nonPAR
NEXMIF	ENSG00000050030	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	74732856	74925472	-	ENSG00000050030	NEXMIF	protein_coding	KIAA2022	Inactive	Inactive	nonPAR
ZNF280C	ENSG00000056277	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	130202707	130268899	-	ENSG00000056277	ZNF280C	protein_coding	ZNF280C	Variable	Variable	nonPAR
GYG2	ENSG00000056998	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	2828822	2882818	+	ENSG00000056998	GYG2	protein_coding	GYG2	Escape	Escape	nonPAR
ARSF	ENSG00000062096	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	3041471	3112727	+	ENSG00000062096	ARSF	protein_coding	ARSF	Escape	Escape	nonPAR
ZNF275	ENSG00000063587	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	153334147	153360110	+	ENSG00000063587	ZNF275	protein_coding	ZNF275	Inactive	Inactive	nonPAR
MTMR1	ENSG00000063601	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	150692971	150765108	+	ENSG00000063601	MTMR1	protein_coding	MTMR1	Inactive	Inactive	nonPAR
SLC9A7	ENSG00000065923	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	46599251	46759118	-	ENSG00000065923	SLC9A7	protein_coding	SLC9A7	Inactive	Inactive	nonPAR
PHKA1	ENSG00000067177	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	72578814	72714319	-	ENSG00000067177	PHKA1	protein_coding	PHKA1	Inactive	Inactive	nonPAR
TRO	ENSG00000067445	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	54920462	54931431	+	ENSG00000067445	TRO	protein_coding	TRO	Inactive	Inactive	nonPAR
IDH3G	ENSG00000067829	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	153785766	153794512	-	ENSG00000067829	IDH3G	protein_coding	IDH3G	Inactive	Inactive	nonPAR
PDZD4	ENSG00000067840	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	153802166	153830565	-	ENSG00000067840	PDZD4	protein_coding	PDZD4	Inactive	Inactive	nonPAR
ATP2B3	ENSG00000067842	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	153517642	153582939	+	ENSG00000067842	ATP2B3	protein_coding	ATP2B3	Inactive	Inactive	nonPAR
PDK3	ENSG00000067992	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	24465244	24550466	+	ENSG00000067992	PDK3	protein_coding	PDK3	Inactive	Inactive	nonPAR
