gene_id	gene_id_clean	gene_name	chrom	start	end	strand	gene_type	chromosome_clean	is_chrX	overlaps_chrX_PAR	within_chrX_PAR	PAR_status	literature_gene_id_clean	literature_symbol	literature_escape_category	literature_escape_class	Andergassen_Status	Berletch_Status	Borensztein_Status	Calabrese_Status	Cheng_Status	Finn_Status	Gendrel_Status	Janiszewski_Status	Li_Status	Lopes_Status	Marks_Status	Reinius2010_Status	Reinius2016_Status	Splinter_Status	Wu_Status	Yang_Status	Yue_Status	Yang2022_Status	Bowness_Status	escape_match_method	preferred_escape_class	atlas_gene_group	atlas_gene_group_display
ENSMUSG00000100249	ENSMUSG00000100249	Btbd35f23	chrX	3076875	3078817	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000100249	Gm21950	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000096426	ENSMUSG00000096426	Btbd35f24	chrX	3148912	3150852	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000096426	Gm21364	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000094558	ENSMUSG00000094558	Btbd35f11	chrX	3396756	3398715	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000094558	Gm14346	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000094876	ENSMUSG00000094876	Btbd35f18	chrX	3605258	3607217	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000094876	Gm14345	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000095716	ENSMUSG00000095716	Btbd35f10	chrX	3655959	3657910	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000095716	Gm14351	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000101381	ENSMUSG00000101381	Btbd35f16	chrX	3860079	3862027	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000101381	Gm3701	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000078218	ENSMUSG00000078218	Btbd35f3	chrX	3942699	3944641	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000078218	Gm3706	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000094307	ENSMUSG00000094307	Btbd35f28	chrX	4101601	4103560	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000094307	Gm14347	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000094596	ENSMUSG00000094596	Btbd35f20	chrX	4192628	4194587	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000094596	Gm10921	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000094273	ENSMUSG00000094273	Btbd35f17	chrX	4273978	4275937	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000094273	Gm10922	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000078213	ENSMUSG00000078213	Btbd35f4	chrX	4703838	4705328	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000078213	Gm3750	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000094860	ENSMUSG00000094860	Btbd35f27	chrX	4855477	4857419	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000094860	Gm3763	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000044597	ENSMUSG00000044597	Mycs	chrX	5378952	5381319	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000044597	Mycs	silenced	nonPAR_subject											S									ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000095814	ENSMUSG00000095814	Btbd35f7	chrX	5581121	5583080	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000095814	Gm14374	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000097342	ENSMUSG00000097342	Gm26618	chrX	5939110	6004323	-	lncRNA	X	True	False	False	nonPAR	ENSMUSG00000097342	Gm26618	Unassigned	nonPAR_uncertain																				ensembl_id	nonPAR_uncertain	nonPAR_uncertain	Unknown
ENSMUSG00000073295	ENSMUSG00000073295	Nudt11	chrX	5959507	5967164	+	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000073295	Nudt11	silenced	nonPAR_subject											S		S		S			S	S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
ENSMUSG00000073294	ENSMUSG00000073294	Ezhip	chrX	5993273	5995473	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000073294	AU022751	facultative	nonPAR_variable_escape		E																		ensembl_id	nonPAR_variable_escape	nonPAR_variable_escape	Variable
ENSMUSG00000073293	ENSMUSG00000073293	Nudt10	chrX	6080750	6085069	-	protein_coding	X	True	False	False	nonPAR	ENSMUSG00000073293	Nudt10	silenced	nonPAR_subject											S		S		S				S	ensembl_id	nonPAR_subject	nonPAR_subject	Inactive
